speciescode,scientific_name,family,growth_form,leaf_type,myco_asso,phenology,ps_type,nitrogen_fixer,shade_tolerance,shade_tolerance_numeric,shade_reference,myco_reference,comments,try_species_ID
PRIL,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr.,Rosaceae,tree,broad,AM,evergreen,C3,FALSE,Intolerant,2,"TRY Refs 1, 38",TRY Ref 129,,44354
PRUNU,Prunus L.,Rosaceae,tree,broad,AM,deciduous,C3,FALSE,,,,,,
PRLA5,Prunus laurocerasus L.,Rosaceae,tree,broad,ECM,deciduous,C3,FALSE,Tolerant,4.11,"TRY Refs 1, 38",TRY Ref 129,,44364
PRLU,Prunus lusitanica L.,Rosaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,2.5,"TRY Refs 1, 38",TRY Ref 129,,44367
PRPE2,Prunus pensylvanica L. f.,Rosaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,,https://www.na.fs.fed.us/pubs/silvics_manual/volume_2/prunus/pensylvanica.htm,,,
PRPE3,Prunus persica (L.) Batsch,Rosaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,1.67,"TRY Refs 1, 38",,,
PRSE2,Prunus serotina Ehrh.,Rosaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,2.46,"TRY Refs 1, 38",,,
PSME,Pseudotsuga menziesii (Mirb.) Franco,Pinaceae,tree,broad,ECM,evergreen,C3,FALSE,Intermediate,2.78,"TRY Refs 1, 38",,,
PUGR2,Punica granatum L.,Punicaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,,https://plants.ces.ncsu.edu/plants/all/punica-granatum/,,,
PUNIC,Punica L.,Punicaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,,https://plants.ces.ncsu.edu/plants/all/punica-granatum/,,,
QUWI,"Quercus ×willdenowiana (Dippel) Beissner, Schelle & Zabel (pro sp.)",Fagaceae,tree,broad,ECM?,deciduous,C3,FALSE,,,,,,
QUAG,Quercus agrifolia Née,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,2,"TRY Refs 1, 38",TRY Ref 129,,45314
QUAL,Quercus alba L.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,2.85,"TRY Refs 1, 38",,,
QUCH,Quercus chapmanii Sarg.,Fagaceae,tree,broad,ECM?,deciduous,C3,FALSE,Intolerant,1.5,"TRY Refs 1, 38",,,
QUCH2,Quercus chrysolepis Liebm.,Fagaceae,tree,broad,ECM,evergreen,C3,FALSE,Intermediate,2.5,"TRY Refs 1, 38",TRY Ref 129,,45346
QUDO,Quercus douglasii Hook. & Arn.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,2,"TRY Refs 1, 38",TRY Ref 129,,45363
QUEL,Quercus ellipsoidalis E.J. Hill,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,,,,,,
QUIL2,Quercus ilex L.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,3.02,"TRY Refs 1, 38",,,
QUKE,Quercus kelloggii Newberry,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,1.55,"TRY Refs 1, 38",TRY Ref 129,,45408
QULO,Quercus lobata Née,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,3,"TRY Refs 1, 38",TRY Ref 129,,45420
QUMA2,Quercus macrocarpa Michx.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,2.71,"TRY Refs 1, 38",,,
QUMO4,Quercus montana Willd.,Fagaceae,tree,broad,ECM?,deciduous,C3,FALSE,,,,,,
QUPA2,Quercus palustris Münchh.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,2.49,"TRY Refs 1, 38",,,
kew-174591,Quercus pubescens Willd.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,,"TRY Refs 1, 38",,,
QURU,Quercus rubra L.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,2.75,"TRY Refs 1, 38",,,
QUVE,Quercus velutina Lam.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,2.72,"TRY Refs 1, 38",,,
QUWI2,Quercus wislizeni A. DC.,Fagaceae,tree,broad,ECM?,evergreen,C3,FALSE,Intermediate,2.5,"TRY Refs 1, 38",,,
RHCA3,Rhamnus cathartica L.,Rhamnaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,1.93,"TRY Refs 1, 38",,,
RHMA,Rhexia mariana L.,Melastomataceae,herb,broad,,deciduous,,FALSE,,,,,,
tro-50060048,Rhododendron calophytum Franch.,Ericaceae,shrub,broad,ERM,evergreen,C3,FALSE,Intermediate,,,,,
RHTY,Rhus typhina L.,Anacardiaceae,shrub,broad,AM,deciduous,C3,FALSE,Intolerant,1.56,"TRY Refs 1, 38",,,
ROPS,Robinia pseudoacacia L.,Fabaceae,tree,broad,EITHER,deciduous,C3,TRUE,Intolerant,1.72,"TRY Refs 1, 38",,,
SAAL2,Salix alba L.,Salicaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,1.99,"TRY Refs 1, 38",,,
SAAT2,Salix atrocinerea Brot.,Salicaceae,shrub,broad,AM + ECM,deciduous,C3,FALSE,Intolerant,,https://en.wikipedia.org/wiki/List_of_tree_species_by_shade_tolerance,,,
SAGL,Salix glauca L. ,Salicaceae,shrub,broad,EM,deciduous,C3,FALSE,Intolerant,,,,,
SALIX,Salix L.,Salicaceae,shrub,broad,EITHER,deciduous,C3,FALSE,Intolerant,,https://en.wikipedia.org/wiki/List_of_tree_species_by_shade_tolerance,,,
SAPU15,Salix pulchra Cham.,Salicaceae,shrub,broad,ECM,deciduous,C3,FALSE,intolerant,,http://www.pfaf.org/user/Plant.aspx?LatinName=Salix+pulchra,,,
SARI4,Salix richardsonii Hook.,Salicaceae,shrub,broad,ECM,deciduous,C3,FALSE,Intolerant,,,TRY Ref 89,,47866
SARO2,Salix rotundifolia Trautv.,Salicaceae,shrub,broad,ECM,deciduous,C3,FALSE,Intolerant,,https://en.wikipedia.org/wiki/List_of_tree_species_by_shade_tolerance,TRY Ref 89,,47924
SAAP2,Salvia apiana Jeps.,Lamiaceae,shrub,broad,AM,evergreen,C3,FALSE,,,,,,
SAME3,Salvia mellifera Greene,Lamiaceae,shrub,broad,AM,deciduous,C3,FALSE,,,,,,
SAOF2,Salvia officinalis L.,Lamiaceae,shrub,broad,AM,evergreen,C3,FALSE,,,,,,
SAAL5,Sassafras albidum (Nutt.) Nees,Lauraceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,1.68,"TRY Refs 1, 38",,,
SANEN,Saxifraga punctata L.,Saxifragaceae,herb,broad,AM,deciduous,,FALSE,Intermediate,,,,,
SCAR10,Schefflera arboricola (Hayata) Merr.,Araliaceae,shrub,broad,AM,evergreen,C3,FALSE,,,,,,
kew-2580434,Simarouba amara Aubl.,Simaroubaceae,tree,broad,AM,evergreen,C3,FALSE,Intolerant,,Mendes et al. 2016 Plant Ecology,,,
SOLY2,Solanum lycopersicum L.,Solanaceae,herb,broad,AM,deciduous,,FALSE,,,,,,
SOTU,Solanum tuberosum L.,Solanaceae,shrub,broad,AM,deciduous,C3,FALSE,Intermediate,,http://www.nzdl.org/gsdlmod?e=d-00000-00---off-0fnl2.2--00-0----0-10-0---0---0direct-10---4-------0-1l--11-en-50---20-about---00-0-1-00-0--4----0-0-11-10-0utfZz-8-00&cl=CL1.1&d=HASH018f0698116ebe8c31aa6a96.6.5&gt=1,,,
SOHA,Sorghum halepense (L.) Pers.,Poaceae,graminoid,broad,AM,deciduous,C4,FALSE,Intolerant,,,,,
SPPE,Spartina pectinata Bosc ex Link,Poaceae,graminoid,broad,AM,deciduous,C4,FALSE,Intolerant,,,,,
SYVU,Syringa vulgaris L.,Oleaceae,shrub,broad,AM,deciduous,C3,FALSE,Intermediate,2.66,"TRY Refs 1, 38",TRY Ref 89,,52666
tro-50312870,Tachigali eriopetala (Ducke) L.F. Gomes da Silva & H.C. Lima,Fabaceae,tree,broad,AM,evergreen,C3,TRUE,,,,TRY Ref 8,,49160
TACHIGALI,Tachigali sp.,Fabaceae,,broad,AM?,evergreen,C3,TRUE,,,,TRY Ref 8 (genus),,
ild-10610,Tachigali versicolor Standl. & L.O.Williams,Fabaceae,tree,broad,AM?,evergreen,C3,TRUE,Tolerant,,"Loveless et al. 1998 Heredity. “Population, structure, and mating system in Tachagli versicolor.”",TRY Ref 8 (genus),,52910
kew-2431494,Terminalia amazonia (J.F.Gmel.) Exell,Combretaceae,tree,broad,AM,evergreen,C3,FALSE,Intermediate,,,,,
THOC2,Thuja occidentalis L.,Cupressaceae,tree,needle,AM,evergreen,C3,FALSE,Intermediate,3.45,"TRY Refs 1, 38",,,
TIAM,Tilia americana L.,Tiliaceae,tree,broad,ECM,deciduous,C3,FALSE,Tolerant,3.98,"TRY Refs 1, 38",,,
TIPL,Tilia platyphyllos Scop.,Tiliaceae,tree,broad,ECM,deciduous,C3,FALSE,Tolerant,4,"TRY Refs 1, 38",,,
TITO,Tilia tomentosa Moench,Tiliaceae,tree,broad,,deciduous,C3,FALSE,Intermediate,3.34,"TRY Refs 1, 38",,,54348
kew-206933,Tocoyena pittieri (Standl.) Standl.,Rubiaceae,tree,broad,AM,evergreen,C3,FALSE,,,,,,54432
TRPR2,Trifolium pratense L.,Fabaceae,herb,broad,AM,deciduous,C3,TRUE,,,,,,
TSCA,Tsuga canadensis (L.) Carrière,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Tolerant,4.83,"TRY Refs 1, 38",,,
TYAN,Typha angustifolia L.,Typhaceae,herb,broad,AM,deciduous,C3,FALSE,Intolerant,,,,,
TYLA,Typha latifolia L.,Typhaceae,herb,broad,AM,deciduous,C3,FALSE,Intermediate,,,,,
ULAM,Ulmus americana L.,Ulmaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.14,"TRY Refs 1, 38",,,
ULGL,Ulmus glabra Huds.,Ulmaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.53,"TRY Refs 1, 38",,,
ULRU,Ulmus rubra Muhl.,Ulmaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.31,"TRY Refs 1, 38",,,
UMCA,Umbellularia californica (Hook. & Arn.) Nutt.,Lauraceae,tree,broad,AM,evergreen,C3,FALSE,Tolerant,3.84,"TRY Refs 1, 38",,,
URDI,Urtica dioica L.,Urticaceae,herb,broad,AM,deciduous,C3,FALSE,,,,,,
USNEA2,Usnea Dill. ex Adans.,Parmeliaceae,lichen,,,,,FALSE,,,,,,
VAVI,Vaccinium vitis-idaea L.,Ericaceae,shrub,broad,ERM,deciduous,C3,FALSE,,,,,,
VIPL,Viburnum plicatum Thunb.,Caprifoliaceae,shrub,broad,AM,deciduous,C3,FALSE,,,,,,
VIRH,Viburnum rhytidophyllum Hemsl.,Caprifoliaceae,shrub,broad,AM,evergreen,C3,FALSE,,,,,,
VITI2,Viburnum tinus L.,Caprifoliaceae,shrub,broad,AM,deciduous,C3,FALSE,,,,,,
kew-2452051,Virola multiflora (Standl.) A.C.Sm.,Myristicaceae,tree,broad,AM,evergreen,C3,FALSE,Tolerant,,(Genus) Uriarte, Mendes,,56620
VITIS,Vitis L.,Vitaceae,vine,broad,AM,deciduous,,FALSE,,,,,,
VIVI5,Vitis vinifera L.,Vitaceae,vine,broad,AM,deciduous,C3,FALSE,,,,,,
kew-2461164,Vochysia ferruginea Mart.,Vochysiaceae,tree,broad,AM,evergreen,C3,FALSE,Intermediate,,,Picone 2000. Biotropica. “Diversity and abundance...”,,
tro-34100091,Vochysia maxima Ducke,Vochysiaceae,tree,broad,AM,,C3,FALSE,,,,TRY Ref 8 (genus),,56797
WEFL2,Weigela florida (Bunge) A. DC.,Caprifoliaceae,shrub,broad,AM,deciduous,C3,FALSE,,,,,,
WYETH,Wyethia Nutt.,Asteraceae,herb,broad,,deciduous,,FALSE,,,,,,
XAST,Xanthium strumarium L.,Asteraceae,herb,broad,AM,deciduous,C3,FALSE,,,,TRY Ref 89,,57128
ZEMA,Zea mays L.,Poaceae,graminoid,broad,AM,deciduous,C4,FALSE,,,,,,
ALVIS,,Betulaceae,shrub,broad,ECM,deciduous,C3,FALSE,Intermediate,,,,,
