speciescode,scientific_name,family,growth_form,leaf_type,myco_asso,phenology,ps_type,nitrogen_fixer,shade_tolerance,shade_tolerance_numeric,shade_reference,myco_reference,comments,try_species_ID
BEGL,Betula glandulosa Michx.,Betulaceae,shrub,broad,ECM,deciduous,C3,FALSE,Intermediate,http://www.pfaf.org/User/Plant.aspx?LatinName=Betula+glandulosa,,TRY Ref 129,,7335
BELE,Betula lenta L.,Betulaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,2.58,"TRY Refs 1, 38",,,
BENAE,Betula nana L. ssp. exilis (Sukaczev) Hultén,Betulaceae,shrub,broad,ECM,deciduous,C3,FALSE,Intolerant,1.56,"TRY Refs 1, 38",,,
BEPA,Betula papyrifera Marshall,Betulaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,1.54,"TRY Refs 1, 38",,,
BEPE3,Betula pendula Roth,Betulaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,2.03,"TRY Refs 1, 38",,,
BEPO,Betula populifolia Marshall,Betulaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,1.5,"TRY Refs 1, 38",,,
BROL,Brassica oleracea L.,Brassicaceae,herb,broad,AM,deciduous,C3,FALSE,Intermediate,http://www.pfaf.org/user/Plant.aspx?LatinName=Brassica+oleracea+ramosa,,,,
kew-30688,Callicarpa bodinieri H.Lév.,Lamiaceae,shrub,broad,AM,deciduous,C3,FALSE,Intermediate,,,,,
tro-3700004,Callichlamys latifolia (Rich.) K. Schum.,Bignoniaceae,vine,broad,AM,deciduous,C3,FALSE,Tolerant,"Kitajima & Hogan (2003) Plant, Cell, & Environment",,,,
CADE27,Calocedrus decurrens (Torr.) Florin,Cupressaceae,tree,needle,AM,evergreen,C3,FALSE,Intermediate,3.21,"TRY Refs 1, 38",Amaranthus & Steinfeld. USDA FS Proceedings. “Arbuscular Mycorrhizal Inoculation...”,,
CACA73,Calycophyllum candidissimum (Vahl) DC.,Rubiaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,,http://tropical.theferns.info/viewtropical.php?id=Calycophyllum+candidissimum,,,
CAIN5,Capparis indica (L.) Druce,Capparaceae,tree,broad,AM,evergreen,C3,FALSE,Intermediate,,"Francis, “Capparis indica”",,,
CAAN4,Capsicum annuum L.,Solanaceae,shrub,broad,AM,evergreen,C3,FALSE,Intolerant,,http://www.pfaf.org/user/Plant.aspx?LatinName=Capsicum+annuum,,,
CAGU6,Carapa guianensis Aubl.,Meliaceae,tree,broad,AM,evergreen,C3,FALSE,Tolerant,,http://pfaf.org/user/Plant.aspx?LatinName=Carapa+guianensis,,,
CAAQ,Carex aquatilis Wahlenb.,Cyperaceae,graminoid,broad,NM,deciduous,C3,FALSE,Intolerant,,,,,
CAREX,Carex L.,Cyperaceae,herb,broad,NM,deciduous,C3,FALSE,,,,,shade tolerance variable,
CAOV2,Carya ovata (Mill.) K. Koch,Juglandaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,3.4,"TRY Refs 1, 38",,,
CATO6,Carya tomentosa (Lam.) Nutt.,Juglandaceae,tree,broad,ECM,deciduous,C3,FALSE,Intolerant,2.2,"TRY Refs 1, 38",TRY Ref 89,,87448
CASA27,Castanea sativa Mill.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,3.15,"TRY Refs 1, 38",,,
CAEL5,Castilla elastica Sessé,Moraceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,,,,,
CECO,Ceanothus cordulatus Kellogg,Rhamnaceae,shrub,broad,AM,deciduous,C3,TRUE,Intolerant,,,,,
CECU,Ceanothus cuneatus (Hook.) Nutt.,Rhamnaceae,shrub,broad,AM,evergreen,C3,TRUE,Intolerant,,,,,
kew-2707049,Cecropia insignis Liebm.,Urticaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,,Mendes et al. 2016 Plant Ecology,,,
CESC9,Cecropia schreberiana Miq.,Cecropiaceae,tree,broad,AM,evergreen,C3,FALSE,Intolerant,,Mendes et al. 2016 Plant Ecology,,,
CEOC,Celtis occidentalis L.,Ulmaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.17,"TRY Refs 1, 38",,,
CESI9,Cercis siliquastrum L.,Fabaceae,tree,broad,,deciduous,C3,FALSE,Intermediate,http://www.pfaf.org/user/plant.aspx?LatinName=Cercis+siliquastrum,,,,11857
CHFO,Chamaebatia foliolosa Benth.,Rosaceae,shrub,broad,,evergreen,C3,TRUE,Intermediate,http://davesgarden.com/guides/pf/showimage/206847/,,,,78503
ild-24491,Chamaecrista scleroxylon (Ducke) H.S.Irwin & Barneby,Fabaceae,tree,broad,AM,,C3,TRUE,,,,TRY Ref 8 (genus),,11979
CHCA2,Chamaedaphne calyculata (L.) Moench,Ericaceae,shrub,broad,ERM,deciduous,C3,FALSE,Intolerant,1.93,"TRY Refs 1, 38",TRY Ref 89,,12027
CHHU7,Chamaerops humilis L.,Arecaceae,tree,broad,AM,evergreen,C3,FALSE,,,,,,
CILI5,Citrus ×limon (L.) Burm. f. (pro sp.),Rutaceae,shrub,broad,AM,evergreen,C3,FALSE,Intolerant,2,"TRY Refs 1, 38",,,
CIRE3,Citrus reticulata Blanco,Rutaceae,tree,broad,AM,evergreen,C3,FALSE,Intolerant,http://www.pfaf.org/user/Plant.aspx?LatinName=Citrus+reticulata,,,,
ild-17602,Cojoba rufescens (Benth.) Britton & Rose,Fabaceae,tree,broad,,evergreen,C3,TRUE,,,,,,13846
COAL,Cordia alliodora (Ruiz & Pav.) Oken,Boraginaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,,Mendes et al. 2016 Plant Ecology,,,
COSES,Cornus alba L.,Cornaceae,shrub,broad,AM,deciduous,C3,FALSE,Intolerant,,,,,
COFL2,Cornus florida L.,Cornaceae,tree,broad,AM,deciduous,C3,FALSE,Tolerant,4.87,"TRY Refs 1, 38",,,
COAM3,Corylus americana Walter,Betulaceae,shrub,broad,ECM,deciduous,C3,FALSE,Intermediate,3.5,"TRY Refs 1, 38",TRY Ref 129,,14687
COAV80,Corylus avellana L.,Betulaceae,tree,broad,ECM,deciduous,C3,FALSE,Intermediate,3.53,"TRY Refs 1, 38",,,
COMA18,Corylus maxima Mill.,Betulaceae,shrub,broad,,deciduous,C3,FALSE,Intermediate,http://www.pfaf.org/user/plant.aspx?LatinName=Corylus+maxima,,,,14696
COCO10,Cotinus coggygria Scop.,Anacardiaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,1.93,"TRY Refs 1, 38",,,
kew-313697,Couratari stellata A.C.Sm.,Lecythidaceae,tree,broad,AM,evergreen,C3,FALSE,,,,TRY Ref 8,,14899
kew-48511,Coussarea paniculata (Vahl) Standl.,Rubiaceae,tree,broad,,evergreen,C3,FALSE,Tolerant,(genus) Thier & Wesenberg 2016 Tropical Conservation Science. “Floristic composition...”,,,,14946
kew-2747501,Cupania cinerea Poepp.,Sapindaceae,tree,broad,,evergreen,C3,FALSE,Tolerant,,Mendes et al. 2016 Plant Ecology,,,15889
DIOC3,Dirca occidentalis A. Gray,Thymelaeaceae,shrub,broad,AM,deciduous,C3,FALSE,,,,TRY Ref 129,,18809
DUFI,Dupontia fisheri R. Br.,Poaceae,graminoid,broad,AM,deciduous,,FALSE,,,,,,
kew-2789089,Endopleura uchi (Huber) Cuatrec.,Humiriaceae,tree,broad,AM,evergreen,C3,FALSE,,,,TRY Ref 8,,20579
ENVE2,Ensete ventricosum (Welw.) Cheeseman,Musaceae,herb,broad,,evergreen,,FALSE,,,,,,
ERCA6,Eriodictyon californicum (Hook. & Arn.) Torr.,Hydrophyllaceae,shrub,broad,,evergreen,C3,FALSE,Intolerant,,,,,21751
ERAN6,Eriophorum angustifolium Honck.,Cyperaceae,graminoid,broad,AM + NM,evergreen,C3,FALSE,Intermediate,,http://www.pfaf.org/user/plant.aspx?LatinName=Eriophorum+angustifolium,,,
kew-2797636,Erisma uncinatum Warm.,Vochysiaceae,tree,broad,AM,evergreen,C3,FALSE,,,,TRY Ref 8 (genus),,21888
EUGU5,Eucalyptus gunnii Hook. f.,Myrtaceae,tree,broad,ECM,evergreen,C3,FALSE,,,,TRY Ref 89,,22558
kew-76314,Eugenia patrisii Vahl,Myrtaceae,tree,broad,AM,evergreen,C3,FALSE,,,,TRY Ref 129 (genus),,23058
EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,Celastraceae,shrub,broad,AM,deciduous,C3,FALSE,,,,,,
FAGR,Fagus grandifolia Ehrh.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Tolerant,4.75,"TRY Refs 1, 38",,,
FASY,Fagus sylvatica L.,Fagaceae,tree,broad,ECM,deciduous,C3,FALSE,Tolerant,4.56,"TRY Refs 1, 38",,,
FICA,Ficus carica L.,Moraceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,,https://www.whiteflowerfarm.com/how-to-grow-fig-ficus-carica,,,
kew-2810868,Ficus insipida Willd.,Moraceae,tree,broad,AM,evergreen,C3,FALSE,Intolerant,,,,,
FRAM2,Fraxinus americana L.,Oleaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,2.46,"TRY Refs 1, 38",,,
FREX80,Fraxinus excelsior L.,Oleaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,2.66,"TRY Refs 1, 38",,,
FRNI,Fraxinus nigra Marshall,Oleaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,2.96,"TRY Refs 1, 38",,,
FRPE,Fraxinus pennsylvanica Marshall,Oleaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.11,"TRY Refs 1, 38",,,
GERAN,Geranium L.,Geraniaceae,herb,broad,AM,deciduous,C3,FALSE,,,,,,
GLMA4,Glycine max (L.) Merr.,Fabaceae,herb,broad,AM,deciduous,C3,TRUE,,,,,,
kew-2834344,Guatteria dumetorum R.E.Fr.,Annonaceae,tree,broad,AM,evergreen,C3,FALSE,Tolerant,,Uriarte et al. 2004 “A spatially explicit model” J. Ecology,,,
kew-314067,Gustavia superba (Kunth) O.Berg,Lecythidaceae,tree,broad,,evergreen,C3,FALSE,Tolerant,,Tyree et al. 1998 Oecologia “Growth dynamics of root and shoot...”,,,27275
HAVI4,Hamamelis virginiana L.,Hamamelidaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3,"TRY Refs 1, 38",,,
HEHE,Hedera helix L.,Araliaceae,vine,broad,AM,deciduous,C3,FALSE,Tolerant,,,,,
HEAN3,Helianthus annuus L.,Asteraceae,herb,broad,AM,deciduous,C3,FALSE,Intolerant,,,,,
HEAR5,Heteromeles arbutifolia (Lindl.) M. Roem.,Rosaceae,tree,broad,,evergreen,C3,FALSE,Intolerant,1.5,"TRY Refs 1, 38",,,28615
HYMA7,Hydrangea macrophylla (Thunb.) Ser.,Hydrangeaceae,shrub,broad,,deciduous,C3,FALSE,Intermediate,2.92,"TRY Refs 1, 38",,,29735
ILAQ80,Ilex aquifolium L.,Aquifoliaceae,tree,broad,AM + ECM,evergreen,C3,FALSE,Tolerant,3.86,"TRY Refs 1, 38",,,
ild-12189,Inga pezizifera Benth.,Fabaceae,tree,broad,AM,evergreen,C3,TRUE,Intolerant,,Roggy & Prevost 1999 New Phytologist. “Nitrogen fixing legumes”,,,30617
IRGE,Iris germanica L.,Iridaceae,herb,broad,AM,deciduous,,FALSE,,,,,,
JUNI,Juglans nigra L.,Juglandaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,1.93,"TRY Refs 1, 38",,,
JURE80,Juglans regia L.,Juglandaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,2.27,"TRY Refs 1, 38",,,
JUVI,Juniperus virginiana L.,Cupressaceae,tree,needle,AM,deciduous,C3,FALSE,Intolerant,1.28,"TRY Refs 1, 38",,,
KALA,Kalmia latifolia L.,Ericaceae,tree,broad,ERM,evergreen,C3,FALSE,Intermediate,2.5,"TRY Refs 1, 38",,,
